,Statement,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms
66,"The phone lines at Kamome, a Tokyo-based travel agency that specializes in tours for Chinese tourists, haven't stopped buzzing. On Sunday, China announced a ban on outbound group travel as part of its battle to stop the spread of the Wuhan coronavirus.",211.0,42.0,6.0,18.0,3.0,21.0,5.023809523809524,0.0,0.0,0.0,0.0,2.380952380952381,34.0,0.0,0.0
67,,89.0,20.0,4.0,5.0,2.0,20.0,4.45,0.0,25.0,0.0,5.0,0.0,16.0,0.0,0.0
68,,216.0,45.0,8.0,14.0,1.0,45.0,4.8,0.0,12.5,0.0,0.0,13.333333333333334,35.0,0.0,0.0
69,"It's the most celebratory time of the year in China -- but in many cities, festivities have been called off.",60.0,11.0,2.0,4.0,2.0,11.0,5.454545454545454,0.0,0.0,0.0,0.0,9.090909090909092,9.0,0.0,0.0
70,,80.0,16.0,1.0,7.0,2.0,16.0,5.0,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0
71,Chinese health authorities have not been able to identify a mysterious strain of pneumonia that has infected dozens of people and put the rest of Asia on alert -- although they have ruled out a return of the deadly severe acute respiratory syndrome (SARS) vir…,84.0,18.0,4.0,4.0,2.0,18.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
72,The outbreak has clouded the firm's forecast for the upcoming quarter.,80.0,16.0,2.0,7.0,2.0,16.0,5.0,0.0,0.0,0.0,0.0,6.25,14.0,0.0,1.0
73,"Worries over the virus' spread hit financial markets, with London's FTSE 100 down more than 2%.",79.0,16.0,4.0,5.0,2.0,16.0,4.9375,0.0,0.0,0.0,0.0,12.5,14.0,0.0,0.0
74,The social media giant has become the first big American company to tell its employees not to travel.,79.0,16.0,2.0,7.0,2.0,16.0,4.9375,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
75,"As the virus spreads, shares in face mask manufacturers also rose by the maximum 10% permitted.",77.0,15.0,2.0,6.0,2.0,15.0,5.133333333333334,0.0,0.0,0.0,13.333333333333334,6.666666666666667,13.0,0.0,0.0
76,Airlines and hotels are having to pay out refunds to tourists affected by the deadly outbreak.,95.0,16.0,3.0,6.0,2.0,16.0,5.9375,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0
77,The moves come after the Chinese government extended the Lunar New Year holiday by three days.,85.0,14.0,2.0,5.0,2.0,14.0,6.071428571428571,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
